epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4307.09,1.27989,5.7396,1.09626,0.15985,0.11572,0.06584,0.04781,0.95664,5.65432,0.93217,0.00330827,0.00330827,0.00330827
2,8452.86,1.21355,4.06177,1.08604,0.22782,0.38466,0.22298,0.14559,1.10894,4.21636,0.99268,0.00661969,0.00661969,0.00661969
3,12713.4,1.22431,3.28433,1.10995,0.24008,0.40745,0.21737,0.15663,0.97391,3.33516,1.00791,0.0099091,0.0099091,0.0099091
4,16827.7,1.23268,2.64194,1.11334,0.37134,0.30199,0.25983,0.16985,1.18453,3.18587,1.03157,0.009901,0.009901,0.009901
5,20976.2,1.23311,2.12348,1.12583,0.50327,0.58055,0.54171,0.32731,1.31671,2.07644,1.14071,0.009868,0.009868,0.009868
6,25097.7,1.20631,1.84169,1.1275,0.49274,0.59982,0.58943,0.44423,0.93462,1.80526,1.00342,0.009835,0.009835,0.009835
7,29224.2,1.1934,1.61002,1.13043,0.49516,0.46134,0.47631,0.33553,0.99462,2.17737,1.01376,0.009802,0.009802,0.009802
8,33358.2,1.18054,1.48654,1.13598,0.62088,0.50542,0.56064,0.38993,1.12844,1.94979,1.08796,0.009769,0.009769,0.009769
9,37506.6,1.14359,1.37355,1.11858,0.66099,0.56078,0.64215,0.46876,1.00997,1.59555,1.05705,0.009736,0.009736,0.009736
10,41683,1.13442,1.31116,1.13374,0.71694,0.59346,0.69079,0.48549,1.0511,1.4302,1.06752,0.009703,0.009703,0.009703
11,45785.5,1.13153,1.23104,1.12337,0.84397,0.736,0.83245,0.64987,0.81797,1.31584,0.98136,0.00967,0.00967,0.00967
12,49888.6,1.11708,1.16677,1.12466,0.77373,0.74514,0.81506,0.63048,0.86062,1.05274,0.9938,0.009637,0.009637,0.009637
13,54022.9,1.09459,1.14801,1.11846,0.80646,0.7693,0.84684,0.67137,0.81,0.98358,0.97307,0.009604,0.009604,0.009604
14,58204.4,1.10851,1.12211,1.12637,0.84038,0.77924,0.87582,0.67954,0.85116,0.94669,0.99926,0.009571,0.009571,0.009571
15,62399.2,1.07718,1.07179,1.10566,0.86011,0.7728,0.86944,0.68593,0.84981,0.90114,0.98779,0.009538,0.009538,0.009538
16,66605.1,1.08367,1.05512,1.11248,0.87392,0.79213,0.87541,0.65065,0.92678,0.93897,1.0203,0.009505,0.009505,0.009505
17,70840.5,1.07424,1.01353,1.10534,0.76186,0.76098,0.82305,0.64444,0.81298,1.0485,0.98479,0.009472,0.009472,0.009472
18,74991.4,1.05949,0.98543,1.10355,0.84036,0.78349,0.86165,0.6789,0.83335,0.88448,0.99194,0.009439,0.009439,0.009439
19,79247.8,1.07079,0.98197,1.11402,0.7437,0.71183,0.77686,0.61829,0.77236,1.11829,0.97098,0.009406,0.009406,0.009406
20,83389.7,1.05121,0.93632,1.10458,0.89207,0.81101,0.90194,0.719,0.78348,0.7784,0.96999,0.009373,0.009373,0.009373
21,87606.8,1.05537,0.91227,1.11102,0.94243,0.82894,0.91664,0.74482,0.75709,0.72847,0.95311,0.00934,0.00934,0.00934
22,91727.5,1.04767,0.88792,1.10476,0.94001,0.81961,0.91313,0.74189,0.73942,0.71398,0.93762,0.009307,0.009307,0.009307
23,96241.6,1.03765,0.89635,1.10494,0.91023,0.8269,0.91307,0.70546,0.83639,0.75473,0.99745,0.009274,0.009274,0.009274
24,100835,1.02672,0.88014,1.0996,0.88296,0.78236,0.87139,0.70072,0.77532,0.8498,0.97459,0.009241,0.009241,0.009241
25,105426,1.02282,0.84663,1.10274,0.92132,0.82835,0.91503,0.7237,0.82704,0.75867,0.98393,0.009208,0.009208,0.009208
26,109603,1.02097,0.84056,1.09538,0.92915,0.78053,0.90298,0.73841,0.72488,0.75006,0.94124,0.009175,0.009175,0.009175
27,113753,1.02362,0.85204,1.09363,0.94193,0.78373,0.90264,0.70397,0.85133,0.73108,0.99164,0.009142,0.009142,0.009142
28,117953,1.02332,0.84364,1.09151,0.90818,0.85481,0.92944,0.76073,0.72746,0.66059,0.94839,0.009109,0.009109,0.009109
29,122164,1.00909,0.81792,1.09596,0.94143,0.83462,0.92157,0.75724,0.70566,0.64297,0.94416,0.009076,0.009076,0.009076
30,126382,0.9961,0.79819,1.09344,0.96234,0.8591,0.93091,0.76403,0.71772,0.60429,0.94122,0.009043,0.009043,0.009043
31,130550,0.99684,0.80542,1.08267,0.89919,0.79335,0.91284,0.74862,0.71828,0.70024,0.95927,0.00901,0.00901,0.00901
32,134771,0.99434,0.79769,1.08551,0.92695,0.83417,0.92109,0.75546,0.72736,0.65571,0.9485,0.008977,0.008977,0.008977
33,139074,0.97928,0.78084,1.07294,0.92713,0.85956,0.92742,0.75433,0.72977,0.65396,0.94797,0.008944,0.008944,0.008944
34,143411,0.98201,0.77738,1.08362,0.91315,0.82705,0.92205,0.74126,0.73907,0.6479,0.95427,0.008911,0.008911,0.008911
35,147843,0.98013,0.7804,1.08491,0.93926,0.87039,0.94526,0.78619,0.68017,0.58269,0.93742,0.008878,0.008878,0.008878
36,152118,0.98628,0.75769,1.08518,0.93827,0.82494,0.92333,0.75575,0.71353,0.659,0.95601,0.008845,0.008845,0.008845
37,156518,0.9581,0.74937,1.08135,0.95257,0.83232,0.92766,0.765,0.69638,0.60695,0.93992,0.008812,0.008812,0.008812
38,160923,0.94989,0.73959,1.07347,0.93521,0.83331,0.92493,0.76948,0.66694,0.72807,0.9299,0.008779,0.008779,0.008779
39,165361,0.95161,0.74145,1.07467,0.90033,0.80513,0.91481,0.76473,0.66393,0.72861,0.92819,0.008746,0.008746,0.008746
40,169841,0.93938,0.7112,1.06058,0.94775,0.87274,0.93698,0.75877,0.73728,0.59,0.95425,0.008713,0.008713,0.008713
41,174305,0.95429,0.72437,1.07052,0.92845,0.86608,0.93498,0.77118,0.70866,0.57909,0.94778,0.00868,0.00868,0.00868
42,178787,0.95094,0.72767,1.06439,0.97372,0.85696,0.94225,0.77724,0.69827,0.57373,0.93652,0.008647,0.008647,0.008647
43,183144,0.94846,0.71168,1.06783,0.94989,0.85806,0.94664,0.7885,0.6742,0.53859,0.93385,0.008614,0.008614,0.008614
44,187515,0.94448,0.70943,1.05987,0.94386,0.8778,0.94293,0.77192,0.70305,0.57369,0.94163,0.008581,0.008581,0.008581
45,191905,0.93975,0.69283,1.06568,0.95785,0.87987,0.94758,0.7858,0.68575,0.55701,0.93841,0.008548,0.008548,0.008548
46,196333,0.94565,0.7012,1.07066,0.91689,0.87371,0.93584,0.77681,0.68305,0.60119,0.93734,0.008515,0.008515,0.008515
47,200742,0.94624,0.69623,1.06132,0.93391,0.87867,0.94176,0.79276,0.65349,0.52943,0.92943,0.008482,0.008482,0.008482
48,205237,0.91929,0.66749,1.05043,0.89034,0.80477,0.9026,0.75768,0.68618,0.71613,0.9349,0.008449,0.008449,0.008449
49,209642,0.93368,0.68253,1.06111,0.92721,0.85843,0.92902,0.77811,0.66364,0.73759,0.93124,0.008416,0.008416,0.008416
50,214083,0.91381,0.68148,1.05223,0.91746,0.8721,0.94208,0.79672,0.64097,0.53303,0.92282,0.008383,0.008383,0.008383
51,218548,0.90998,0.65937,1.04878,0.94748,0.8503,0.94037,0.76819,0.71191,0.56576,0.94122,0.00835,0.00835,0.00835
